Country or Area,Element,Year,Unit,Value,Value Footnotes
Africa,Gross per capita Production Index Number (2014-2016 = 100),1986.0,Index,96.43,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1985.0,Index,99.21,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1984.0,Index,122.06,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1983.0,Index,125.51,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1982.0,Index,203.25,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1981.0,Index,187.54,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1980.0,Index,136.92,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1979.0,Index,189.4,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1978.0,Index,121.3,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1977.0,Index,122.35,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1976.0,Index,153.49,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1975.0,Index,261.45,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1974.0,Index,218.27,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1973.0,Index,202.39,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1972.0,Index,45.21,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1971.0,Index,57.92,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1970.0,Index,63.59,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1969.0,Index,78.01,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1968.0,Index,71.02,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1967.0,Index,63.93,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1966.0,Index,65.58,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1965.0,Index,67.25,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1964.0,Index,68.96,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1963.0,Index,70.7,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1962.0,Index,72.46,
Africa,Gross per capita Production Index Number (2014-2016 = 100),1961.0,Index,74.24,
Africa,Area harvested,2021.0,ha,2278.0,
Africa,Area harvested,2020.0,ha,2295.0,
Africa,Area harvested,2019.0,ha,2320.0,
Africa,Area harvested,2018.0,ha,2331.0,
Africa,Area harvested,2017.0,ha,2414.0,
Africa,Area harvested,2016.0,ha,2382.0,
Africa,Area harvested,2015.0,ha,2346.0,
Africa,Area harvested,2014.0,ha,2319.0,
Africa,Area harvested,2013.0,ha,2242.0,
Africa,Area harvested,2012.0,ha,2206.0,
Africa,Area harvested,2011.0,ha,2452.0,
Africa,Area harvested,2010.0,ha,2694.0,
Africa,Area harvested,2009.0,ha,2888.0,
Africa,Area harvested,2008.0,ha,3268.0,
Africa,Area harvested,2007.0,ha,3175.0,
Africa,Area harvested,2006.0,ha,3026.0,
Africa,Area harvested,2005.0,ha,2968.0,
Africa,Area harvested,2004.0,ha,2889.0,
Africa,Area harvested,2003.0,ha,2783.0,
Africa,Area harvested,2002.0,ha,2716.0,
Africa,Area harvested,2001.0,ha,2685.0,
Africa,Area harvested,2000.0,ha,2648.0,
Africa,Area harvested,1999.0,ha,2541.0,
Africa,Area harvested,1998.0,ha,2432.0,
Africa,Area harvested,1997.0,ha,2314.0,
Africa,Area harvested,1996.0,ha,2347.0,
Africa,Area harvested,1995.0,ha,2319.0,
Africa,Area harvested,1994.0,ha,2307.0,
Africa,Area harvested,1993.0,ha,2258.0,
Africa,Area harvested,1992.0,ha,2550.0,
Africa,Area harvested,1991.0,ha,2514.0,
Africa,Area harvested,1990.0,ha,3150.0,
Africa,Area harvested,1989.0,ha,3130.0,
Africa,Area harvested,1988.0,ha,3110.0,
Africa,Area harvested,1987.0,ha,3110.0,
Africa,Area harvested,1986.0,ha,3050.0,
Africa,Area harvested,1985.0,ha,3200.0,
Africa,Area harvested,1984.0,ha,3140.0,
Africa,Area harvested,1983.0,ha,2890.0,
Africa,Area harvested,1982.0,ha,2890.0,
Africa,Area harvested,1981.0,ha,2890.0,
Africa,Area harvested,1980.0,ha,2890.0,
Africa,Area harvested,1979.0,ha,2910.0,
Africa,Area harvested,1978.0,ha,2540.0,
Africa,Area harvested,1977.0,ha,2500.0,
Africa,Area harvested,1976.0,ha,2500.0,
Africa,Area harvested,1975.0,ha,2500.0,
Africa,Area harvested,1974.0,ha,2500.0,
Africa,Area harvested,1973.0,ha,2200.0,
Africa,Area harvested,1972.0,ha,1000.0,
Africa,Area harvested,1971.0,ha,1000.0,
Africa,Area harvested,1970.0,ha,1000.0,
Africa,Area harvested,1969.0,ha,1000.0,
Africa,Area harvested,1968.0,ha,1000.0,
Africa,Area harvested,1967.0,ha,1000.0,
Africa,Area harvested,1966.0,ha,1000.0,
Africa,Area harvested,1965.0,ha,1000.0,
Africa,Area harvested,1964.0,ha,1000.0,
Africa,Area harvested,1963.0,ha,1000.0,
Africa,Area harvested,1962.0,ha,1000.0,
Africa,Area harvested,1961.0,ha,1000.0,
Africa,Yield,2021.0,100 g/ha,4777.0,
Africa,Yield,2020.0,100 g/ha,4765.0,
Africa,Yield,2019.0,100 g/ha,4742.0,
Africa,Yield,2018.0,100 g/ha,4766.0,
Africa,Yield,2017.0,100 g/ha,4737.0,
Africa,Yield,2016.0,100 g/ha,4746.0,
Africa,Yield,2015.0,100 g/ha,4725.0,
Africa,Yield,2014.0,100 g/ha,4719.0,
Africa,Yield,2013.0,100 g/ha,4792.0,
Africa,Yield,2012.0,100 g/ha,4744.0,
Africa,Yield,2011.0,100 g/ha,4716.0,
Africa,Yield,2010.0,100 g/ha,4675.0,
Africa,Yield,2009.0,100 g/ha,4596.0,
Africa,Yield,2008.0,100 g/ha,4505.0,
Africa,Yield,2007.0,100 g/ha,4486.0,
Africa,Yield,2006.0,100 g/ha,4436.0,
Africa,Yield,2005.0,100 g/ha,4419.0,
Africa,Yield,2004.0,100 g/ha,4393.0,
Africa,Yield,2003.0,100 g/ha,4389.0,
Africa,Yield,2002.0,100 g/ha,4392.0,
Africa,Yield,2001.0,100 g/ha,4343.0,
Africa,Yield,2000.0,100 g/ha,4399.0,
Africa,Yield,1999.0,100 g/ha,4389.0,
Africa,Yield,1998.0,100 g/ha,4390.0,
Africa,Yield,1997.0,100 g/ha,4402.0,
Africa,Yield,1996.0,100 g/ha,4385.0,
Africa,Yield,1995.0,100 g/ha,4378.0,
Africa,Yield,1994.0,100 g/ha,4374.0,
Africa,Yield,1993.0,100 g/ha,4415.0,
Africa,Yield,1992.0,100 g/ha,3878.0,
Africa,Yield,1991.0,100 g/ha,3966.0,
Africa,Yield,1990.0,100 g/ha,3375.0,
Africa,Yield,1989.0,100 g/ha,2524.0,
Africa,Yield,1988.0,100 g/ha,2186.0,
Africa,Yield,1987.0,100 g/ha,2990.0,
Africa,Yield,1986.0,100 g/ha,1672.0,
Africa,Yield,1985.0,100 g/ha,1594.0,
Africa,Yield,1984.0,100 g/ha,1943.0,
Africa,Yield,1983.0,100 g/ha,2111.0,
Africa,Yield,1982.0,100 g/ha,3322.0,
Africa,Yield,1981.0,100 g/ha,2976.0,
Africa,Yield,1980.0,100 g/ha,2111.0,
Africa,Yield,1979.0,100 g/ha,2818.0,
Africa,Yield,1978.0,100 g/ha,2008.0,
Africa,Yield,1977.0,100 g/ha,2000.0,
Africa,Yield,1976.0,100 g/ha,2440.0,
Africa,Yield,1975.0,100 g/ha,4040.0,
Africa,Yield,1974.0,100 g/ha,3280.0,
Africa,Yield,1973.0,100 g/ha,3364.0,
Africa,Yield,1972.0,100 g/ha,1610.0,
Africa,Yield,1971.0,100 g/ha,2010.0,
Africa,Yield,1970.0,100 g/ha,2150.0,
Africa,Yield,1969.0,100 g/ha,2570.0,
Africa,Yield,1968.0,100 g/ha,2280.0,
Africa,Yield,1967.0,100 g/ha,2000.0,
Africa,Yield,1966.0,100 g/ha,2000.0,
Africa,Yield,1965.0,100 g/ha,2000.0,
Africa,Yield,1964.0,100 g/ha,2000.0,
Africa,Yield,1963.0,100 g/ha,2000.0,
Africa,Yield,1962.0,100 g/ha,2000.0,
Africa,Yield,1961.0,100 g/ha,2000.0,
Africa,Production,2021.0,t,1088.53,
Africa,Production,2020.0,t,1093.71,
Africa,Production,2019.0,t,1100.12,
Africa,Production,2018.0,t,1110.85,
Africa,Production,2017.0,t,1143.46,
Africa,Production,2016.0,t,1130.41,
Africa,Production,2015.0,t,1108.68,
Africa,Production,2014.0,t,1094.22,
Africa,Production,2013.0,t,1074.43,
Africa,Production,2012.0,t,1046.68,
Africa,Production,2011.0,t,1156.55,
Africa,Production,2010.0,t,1259.3,
Africa,Production,2009.0,t,1327.24,
Africa,Production,2008.0,t,1472.12,
Africa,Production,2007.0,t,1424.32,
Africa,Production,2006.0,t,1342.54,
Africa,Production,2005.0,t,1311.64,
Africa,Production,2004.0,t,1269.03,
Africa,Production,2003.0,t,1221.57,
Africa,Production,2002.0,t,1192.72,
Africa,Production,2001.0,t,1166.29,
Africa,Production,2000.0,t,1164.88,
Africa,Production,1999.0,t,1115.15,
Africa,Production,1998.0,t,1067.5,
Africa,Production,1997.0,t,1018.59,
Africa,Production,1996.0,t,1028.99,
Africa,Production,1995.0,t,1015.41,
Africa,Production,1994.0,t,1008.88,
Africa,Production,1993.0,t,996.88,
Africa,Production,1992.0,t,988.94,
Africa,Production,1991.0,t,997.22,
Africa,Production,1990.0,t,1063.0,
Africa,Production,1989.0,t,790.0,
Africa,Production,1988.0,t,680.0,
Africa,Production,1987.0,t,930.0,
Africa,Production,1986.0,t,510.0,
Africa,Production,1985.0,t,510.0,
Africa,Production,1984.0,t,610.0,
Africa,Production,1983.0,t,610.0,
Africa,Production,1982.0,t,960.0,
Africa,Production,1981.0,t,860.0,
Africa,Production,1980.0,t,610.0,
Africa,Production,1979.0,t,820.0,
Africa,Production,1978.0,t,510.0,
Africa,Production,1977.0,t,500.0,
Africa,Production,1976.0,t,610.0,
Africa,Production,1975.0,t,1010.0,
Africa,Production,1974.0,t,820.0,
Africa,Production,1973.0,t,740.0,
Africa,Production,1972.0,t,161.0,
Africa,Production,1971.0,t,201.0,
Africa,Production,1970.0,t,215.0,
Africa,Production,1969.0,t,257.0,
Africa,Production,1968.0,t,228.0,
Africa,Production,1967.0,t,200.0,
Africa,Production,1966.0,t,200.0,
Africa,Production,1965.0,t,200.0,
Africa,Production,1964.0,t,200.0,
Africa,Production,1963.0,t,200.0,
Africa,Production,1962.0,t,200.0,
Africa,Production,1961.0,t,200.0,
Americas,Gross Production Index Number (2014-2016 = 100),2021.0,Index,98.81,
Americas,Gross Production Index Number (2014-2016 = 100),2020.0,Index,98.98,
Americas,Gross Production Index Number (2014-2016 = 100),2019.0,Index,98.64,
Americas,Gross Production Index Number (2014-2016 = 100),2018.0,Index,97.8,
Americas,Gross Production Index Number (2014-2016 = 100),2017.0,Index,100.09,
Americas,Gross Production Index Number (2014-2016 = 100),2016.0,Index,98.36,
Americas,Gross Production Index Number (2014-2016 = 100),2015.0,Index,95.73,
Americas,Gross Production Index Number (2014-2016 = 100),2014.0,Index,105.91,
Americas,Gross Production Index Number (2014-2016 = 100),2013.0,Index,103.75,
Americas,Gross Production Index Number (2014-2016 = 100),2012.0,Index,96.81,
Americas,Gross Production Index Number (2014-2016 = 100),2011.0,Index,72.32,
Americas,Gross Production Index Number (2014-2016 = 100),2010.0,Index,63.63,
Americas,Gross Production Index Number (2014-2016 = 100),2009.0,Index,69.36,
Americas,Gross Production Index Number (2014-2016 = 100),2008.0,Index,72.68,
Americas,Gross Production Index Number (2014-2016 = 100),2007.0,Index,76.83,
Americas,Gross Production Index Number (2014-2016 = 100),2006.0,Index,84.85,
Americas,Gross Production Index Number (2014-2016 = 100),2005.0,Index,86.67,
Americas,Gross Production Index Number (2014-2016 = 100),2004.0,Index,85.07,
Americas,Gross Production Index Number (2014-2016 = 100),2003.0,Index,84.46,
Americas,Gross Production Index Number (2014-2016 = 100),2002.0,Index,61.1,
Americas,Gross Production Index Number (2014-2016 = 100),2001.0,Index,50.64,
Americas,Gross Production Index Number (2014-2016 = 100),2000.0,Index,50.3,
Americas,Gross Production Index Number (2014-2016 = 100),1999.0,Index,48.17,
Americas,Gross Production Index Number (2014-2016 = 100),1998.0,Index,55.42,
Americas,Gross Production Index Number (2014-2016 = 100),1997.0,Index,65.05,
Americas,Gross Production Index Number (2014-2016 = 100),1996.0,Index,64.54,
Americas,Gross Production Index Number (2014-2016 = 100),1995.0,Index,48.56,
Americas,Gross Production Index Number (2014-2016 = 100),1994.0,Index,48.36,
Americas,Gross Production Index Number (2014-2016 = 100),1993.0,Index,42.0,
Americas,Gross Production Index Number (2014-2016 = 100),1992.0,Index,40.0,
Americas,Gross Production Index Number (2014-2016 = 100),1991.0,Index,38.6,
Americas,Gross Production Index Number (2014-2016 = 100),1990.0,Index,37.37,
Americas,Gross Production Index Number (2014-2016 = 100),1989.0,Index,37.3,
Americas,Gross Production Index Number (2014-2016 = 100),1988.0,Index,38.86,
Americas,Gross Production Index Number (2014-2016 = 100),1987.0,Index,38.45,
Americas,Gross Production Index Number (2014-2016 = 100),1986.0,Index,32.61,
Americas,Gross Production Index Number (2014-2016 = 100),1985.0,Index,25.9,
Americas,Gross Production Index Number (2014-2016 = 100),1984.0,Index,27.5,
Americas,Gross Production Index Number (2014-2016 = 100),1983.0,Index,26.41,
Americas,Gross Production Index Number (2014-2016 = 100),1982.0,Index,23.48,
Americas,Gross Production Index Number (2014-2016 = 100),1981.0,Index,22.52,
Americas,Gross Production Index Number (2014-2016 = 100),1980.0,Index,21.02,
Americas,Gross Production Index Number (2014-2016 = 100),1979.0,Index,16.95,
Americas,Gross Production Index Number (2014-2016 = 100),1978.0,Index,19.18,
Americas,Gross Production Index Number (2014-2016 = 100),1977.0,Index,17.71,
Americas,Gross Production Index Number (2014-2016 = 100),1976.0,Index,12.95,
Americas,Gross Production Index Number (2014-2016 = 100),1975.0,Index,10.14,
Americas,Gross Production Index Number (2014-2016 = 100),1974.0,Index,10.13,
Americas,Gross Production Index Number (2014-2016 = 100),1973.0,Index,8.64,
Americas,Gross Production Index Number (2014-2016 = 100),1972.0,Index,6.99,
Americas,Gross Production Index Number (2014-2016 = 100),1971.0,Index,7.36,
Americas,Gross Production Index Number (2014-2016 = 100),1970.0,Index,8.83,
Americas,Gross Production Index Number (2014-2016 = 100),1969.0,Index,7.43,
Americas,Gross Production Index Number (2014-2016 = 100),1968.0,Index,6.23,
Americas,Gross Production Index Number (2014-2016 = 100),1967.0,Index,5.7,
Americas,Gross Production Index Number (2014-2016 = 100),1966.0,Index,5.47,
Americas,Gross Production Index Number (2014-2016 = 100),1965.0,Index,4.69,
Americas,Gross Production Index Number (2014-2016 = 100),1964.0,Index,2.46,
Americas,Gross Production Index Number (2014-2016 = 100),1963.0,Index,2.72,
Americas,Gross Production Index Number (2014-2016 = 100),1962.0,Index,2.42,
Americas,Gross Production Index Number (2014-2016 = 100),1961.0,Index,1.65,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2021.0,Index,94.2,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2020.0,Index,94.88,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2019.0,Index,95.2,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2018.0,Index,95.15,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2017.0,Index,98.23,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2016.0,Index,97.42,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2015.0,Index,95.7,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2014.0,Index,106.88,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2013.0,Index,105.73,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2012.0,Index,99.65,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2011.0,Index,75.21,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2010.0,Index,66.85,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2009.0,Index,73.62,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2008.0,Index,77.95,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2007.0,Index,83.29,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2006.0,Index,93.01,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2005.0,Index,96.06,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2004.0,Index,95.37,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2003.0,Index,95.78,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2002.0,Index,70.1,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2001.0,Index,58.82,
Americas,Gross per capita Production Index Number (2014-2016 = 100),2000.0,Index,59.18,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1999.0,Index,57.44,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1998.0,Index,67.0,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1997.0,Index,79.78,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1996.0,Index,80.32,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1995.0,Index,61.33,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1994.0,Index,62.02,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1993.0,Index,54.72,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1992.0,Index,52.95,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1991.0,Index,51.95,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1990.0,Index,51.14,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1989.0,Index,51.91,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1988.0,Index,54.94,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1987.0,Index,55.22,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1986.0,Index,47.58,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1985.0,Index,38.4,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1984.0,Index,41.44,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1983.0,Index,40.45,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1982.0,Index,36.56,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1981.0,Index,35.66,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1980.0,Index,33.87,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1979.0,Index,27.82,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1978.0,Index,32.06,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1977.0,Index,30.15,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1976.0,Index,22.45,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1975.0,Index,17.87,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1974.0,Index,18.19,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1973.0,Index,15.79,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1972.0,Index,13.02,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1971.0,Index,13.95,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1970.0,Index,17.08,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1969.0,Index,14.66,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1968.0,Index,12.52,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1967.0,Index,11.68,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1966.0,Index,11.42,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1965.0,Index,10.0,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1964.0,Index,5.35,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1963.0,Index,6.04,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1962.0,Index,5.49,
Americas,Gross per capita Production Index Number (2014-2016 = 100),1961.0,Index,3.84,
Americas,Area harvested,2021.0,ha,80190.0,
Americas,Area harvested,2020.0,ha,79651.0,
Americas,Area harvested,2019.0,ha,79061.0,
Americas,Area harvested,2018.0,ha,79915.0,
Americas,Area harvested,2017.0,ha,76991.0,
Americas,Area harvested,2016.0,ha,77105.0,
Americas,Area harvested,2015.0,ha,77490.0,
Americas,Area harvested,2014.0,ha,75729.0,
Americas,Area harvested,2013.0,ha,72108.0,
Americas,Area harvested,2012.0,ha,68185.0,
Americas,Area harvested,2011.0,ha,66650.0,
Americas,Area harvested,2010.0,ha,65428.0,
Americas,Area harvested,2009.0,ha,67807.0,
